MetaMessage('time_signature', numerator=1, denominator=4, clocks_per_click=24, notated_32nd_notes_per_beat=8, time=0)
MetaMessage('key_signature', key='C', time=0)
MetaMessage('set_tempo', tempo=454544, time=0)
MetaMessage('track_name', name='Rondo (alla Turca) from Sonata in A', time=0)
MetaMessage('text', text='Wolfgang Amadeus Mozart', time=0)
note_on channel=0 note=74 velocity=58 time=0.0124289375
note_on channel=0 note=60 velocity=52 time=0
note_on channel=0 note=64 velocity=52 time=0
note_on channel=0 note=72 velocity=51 time=0.113636
note_off channel=0 note=74 velocity=0 time=0.0017755625
note_off channel=0 note=60 velocity=0 time=0.0337356875
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=71 velocity=62 time=0.07812475
note_on channel=0 note=60 velocity=49 time=0
note_on channel=0 note=64 velocity=49 time=0
note_off channel=0 note=72 velocity=0 time=0.0017755625
note_on channel=0 note=72 velocity=65 time=0.1118604375
note_off channel=0 note=71 velocity=0 time=0.0017755625
note_off channel=0 note=60 velocity=0 time=0.0337356875
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=76 velocity=73 time=0.07812475
note_on channel=0 note=57 velocity=43 time=0
note_off channel=0 note=72 velocity=0 time=0.0017755625
note_off channel=0 note=76 velocity=0 time=0.14737168750000001
note_on channel=0 note=60 velocity=50 time=0.07812475
note_on channel=0 note=64 velocity=50 time=0
note_off channel=0 note=57 velocity=0 time=0.003551125
note_off channel=0 note=60 velocity=0 time=0.2112919375
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=77 velocity=55 time=0.0124289375
note_on channel=0 note=60 velocity=48 time=0
note_on channel=0 note=64 velocity=48 time=0
note_on channel=0 note=76 velocity=54 time=0.113636
note_off channel=0 note=77 velocity=0 time=0.0017755625
note_off channel=0 note=60 velocity=0 time=0.0337356875
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=75 velocity=58 time=0.07812475
note_on channel=0 note=60 velocity=48 time=0
note_on channel=0 note=64 velocity=48 time=0
note_off channel=0 note=76 velocity=0 time=0.0017755625
note_on channel=0 note=76 velocity=59 time=0.1118604375
note_off channel=0 note=75 velocity=0 time=0.0017755625
note_off channel=0 note=60 velocity=0 time=0.0337356875
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=83 velocity=77 time=0.07812475
note_on channel=0 note=57 velocity=49 time=0
note_off channel=0 note=76 velocity=0 time=0.0017755625
note_on channel=0 note=81 velocity=63 time=0.1118604375
note_off channel=0 note=83 velocity=0 time=0.0017755625
note_off channel=0 note=57 velocity=0 time=0.0337356875
note_on channel=0 note=80 velocity=66 time=0.07812475
note_on channel=0 note=60 velocity=62 time=0
note_on channel=0 note=64 velocity=62 time=0
note_off channel=0 note=81 velocity=0 time=0.0017755625
note_on channel=0 note=81 velocity=69 time=0.1118604375
note_off channel=0 note=80 velocity=0 time=0.0017755625
note_off channel=0 note=60 velocity=0 time=0.0337356875
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=83 velocity=76 time=0.07812475
note_on channel=0 note=57 velocity=57 time=0
note_off channel=0 note=81 velocity=0 time=0.0017755625
note_on channel=0 note=81 velocity=69 time=0.1118604375
note_off channel=0 note=83 velocity=0 time=0.0017755625
note_off channel=0 note=57 velocity=0 time=0.0337356875
note_on channel=0 note=80 velocity=63 time=0.07812475
note_on channel=0 note=60 velocity=69 time=0
note_on channel=0 note=64 velocity=69 time=0
note_off channel=0 note=81 velocity=0 time=0.0017755625
note_on channel=0 note=81 velocity=81 time=0.1118604375
note_off channel=0 note=80 velocity=0 time=0.0017755625
note_off channel=0 note=60 velocity=0 time=0.0337356875
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=84 velocity=84 time=0.07812475
note_on channel=0 note=57 velocity=58 time=0
note_off channel=0 note=81 velocity=0 time=0.0017755625
note_on channel=0 note=60 velocity=68 time=0.2254964375
note_on channel=0 note=64 velocity=68 time=0
note_off channel=0 note=57 velocity=0 time=0.003551125
note_off channel=0 note=84 velocity=0 time=0.2006385625
note_off channel=0 note=60 velocity=0 time=0.010653375
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=81 velocity=76 time=0.0124289375
note_on channel=0 note=60 velocity=69 time=0
note_on channel=0 note=64 velocity=69 time=0
note_off channel=0 note=81 velocity=0 time=0.14914725
note_off channel=0 note=60 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=84 velocity=84 time=0.07812475
note_on channel=0 note=60 velocity=66 time=0
note_on channel=0 note=64 velocity=66 time=0
note_off channel=0 note=84 velocity=0 time=0.145596125
note_on channel=0 note=79 velocity=88 time=0
note_off channel=0 note=60 velocity=0 time=0.003551125
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=81 velocity=88 time=0.0372868125
note_on channel=0 note=83 velocity=88 time=0.0408379375
note_off channel=0 note=79 velocity=0 time=0
note_off channel=0 note=81 velocity=0 time=0
note_on channel=0 note=52 velocity=54 time=0
note_off channel=0 note=83 velocity=0 time=0.14914725
note_off channel=0 note=52 velocity=0 time=0
note_on channel=0 note=78 velocity=74 time=0.07812475
note_on channel=0 note=81 velocity=74 time=0
note_on channel=0 note=59 velocity=83 time=0
note_on channel=0 note=64 velocity=83 time=0
note_off channel=0 note=78 velocity=0 time=0.14914725
note_off channel=0 note=81 velocity=0 time=0
note_off channel=0 note=59 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=76 velocity=72 time=0.07812475
note_on channel=0 note=79 velocity=72 time=0
note_on channel=0 note=59 velocity=65 time=0
note_on channel=0 note=64 velocity=65 time=0
note_off channel=0 note=76 velocity=0 time=0.14914725
note_off channel=0 note=79 velocity=0 time=0
note_off channel=0 note=59 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=78 velocity=83 time=0.07812475
note_on channel=0 note=81 velocity=83 time=0
note_on channel=0 note=59 velocity=64 time=0
note_on channel=0 note=64 velocity=64 time=0
note_off channel=0 note=78 velocity=0 time=0.145596125
note_off channel=0 note=81 velocity=0 time=0
note_on channel=0 note=79 velocity=84 time=0
note_off channel=0 note=59 velocity=0 time=0.003551125
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=81 velocity=84 time=0.0372868125
note_on channel=0 note=83 velocity=84 time=0.0408379375
note_off channel=0 note=79 velocity=0 time=0
note_off channel=0 note=81 velocity=0 time=0
note_on channel=0 note=52 velocity=57 time=0
note_off channel=0 note=83 velocity=0 time=0.14914725
note_off channel=0 note=52 velocity=0 time=0
note_on channel=0 note=78 velocity=73 time=0.07812475
note_on channel=0 note=81 velocity=73 time=0
note_on channel=0 note=59 velocity=83 time=0
note_on channel=0 note=64 velocity=83 time=0
note_off channel=0 note=78 velocity=0 time=0.14914725
note_off channel=0 note=81 velocity=0 time=0
note_off channel=0 note=59 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=76 velocity=71 time=0.07812475
note_on channel=0 note=79 velocity=71 time=0
note_on channel=0 note=59 velocity=71 time=0
note_on channel=0 note=64 velocity=71 time=0
note_off channel=0 note=76 velocity=0 time=0.14914725
note_off channel=0 note=79 velocity=0 time=0
note_off channel=0 note=59 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=78 velocity=93 time=0.07812475
note_on channel=0 note=81 velocity=93 time=0
note_on channel=0 note=59 velocity=60 time=0
note_on channel=0 note=64 velocity=60 time=0
note_off channel=0 note=78 velocity=0 time=0.145596125
note_off channel=0 note=81 velocity=0 time=0
note_on channel=0 note=79 velocity=106 time=0
note_off channel=0 note=59 velocity=0 time=0.003551125
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=81 velocity=106 time=0.0372868125
note_on channel=0 note=83 velocity=106 time=0.0408379375
note_off channel=0 note=79 velocity=0 time=0
note_off channel=0 note=81 velocity=0 time=0
note_on channel=0 note=52 velocity=58 time=0
note_off channel=0 note=83 velocity=0 time=0.14914725
note_off channel=0 note=52 velocity=0 time=0
note_on channel=0 note=78 velocity=92 time=0.07812475
note_on channel=0 note=81 velocity=92 time=0
note_on channel=0 note=59 velocity=82 time=0
note_on channel=0 note=64 velocity=82 time=0
note_off channel=0 note=78 velocity=0 time=0.14914725
note_off channel=0 note=81 velocity=0 time=0
note_off channel=0 note=59 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=76 velocity=88 time=0.07812475
note_on channel=0 note=79 velocity=88 time=0
note_on channel=0 note=47 velocity=65 time=0
note_off channel=0 note=76 velocity=0 time=0.14914725
note_off channel=0 note=79 velocity=0 time=0
note_off channel=0 note=47 velocity=0 time=0
note_on channel=0 note=75 velocity=88 time=0.07812475
note_on channel=0 note=78 velocity=88 time=0
note_on channel=0 note=59 velocity=66 time=0
note_off channel=0 note=75 velocity=0 time=0.14914725
note_off channel=0 note=78 velocity=0 time=0
note_off channel=0 note=59 velocity=0 time=0
MetaMessage('time_signature', numerator=1, denominator=4, clocks_per_click=24, notated_32nd_notes_per_beat=8, time=0.07812475)
note_on channel=0 note=76 velocity=73 time=0
note_on channel=0 note=52 velocity=63 time=0
note_off channel=0 note=76 velocity=0 time=0.4279105625
note_off channel=0 note=52 velocity=0 time=0
MetaMessage('set_tempo', tempo=447760, time=0.024857875)
note_on channel=0 note=72 velocity=77 time=0.0017490625
note_on channel=0 note=76 velocity=77 time=0
note_off channel=0 note=72 velocity=0 time=0.14692125
note_off channel=0 note=76 velocity=0 time=0
note_on channel=0 note=74 velocity=85 time=0.07695874999999999
note_on channel=0 note=77 velocity=85 time=0
note_off channel=0 note=74 velocity=0 time=0.14692125
note_off channel=0 note=77 velocity=0 time=0
MetaMessage('time_signature', numerator=2, denominator=4, clocks_per_click=24, notated_32nd_notes_per_beat=8, time=0.07695874999999999)
note_on channel=0 note=76 velocity=85 time=0
note_on channel=0 note=79 velocity=85 time=0
note_on channel=0 note=48 velocity=56 time=0
note_off channel=0 note=76 velocity=0 time=0.14692125
note_off channel=0 note=79 velocity=0 time=0
note_off channel=0 note=48 velocity=0 time=0
note_on channel=0 note=76 velocity=83 time=0.07695874999999999
note_on channel=0 note=79 velocity=83 time=0
note_on channel=0 note=60 velocity=80 time=0
note_off channel=0 note=76 velocity=0 time=0.14692125
note_off channel=0 note=79 velocity=0 time=0
note_off channel=0 note=60 velocity=0 time=0
note_on channel=0 note=81 velocity=86 time=0.07695874999999999
note_on channel=0 note=52 velocity=62 time=0
note_on channel=0 note=79 velocity=81 time=0.11194
note_off channel=0 note=81 velocity=0 time=0.0017490625
note_off channel=0 note=52 velocity=0 time=0.033232187499999996
note_on channel=0 note=77 velocity=75 time=0.07695874999999999
note_on channel=0 note=64 velocity=79 time=0
note_off channel=0 note=79 velocity=0 time=0.0017490625
note_on channel=0 note=76 velocity=65 time=0.1101909375
note_off channel=0 note=77 velocity=0 time=0.0017490625
note_off channel=0 note=64 velocity=0 time=0.033232187499999996
note_on channel=0 note=74 velocity=69 time=0.07695874999999999
note_on channel=0 note=71 velocity=65 time=0
note_on channel=0 note=55 velocity=64 time=0
note_off channel=0 note=76 velocity=0 time=0.0017490625
note_on channel=0 note=67 velocity=55 time=0.2221309375
note_off channel=0 note=71 velocity=0 time=0.003498125
note_off channel=0 note=55 velocity=0 time=0.1941459375
note_off channel=0 note=74 velocity=0 time=0.00699625
note_off channel=0 note=67 velocity=0 time=0.00699625
note_on channel=0 note=72 velocity=82 time=0.012243437499999999
note_on channel=0 note=76 velocity=82 time=0
note_off channel=0 note=72 velocity=0 time=0.14692125
note_off channel=0 note=76 velocity=0 time=0
note_on channel=0 note=74 velocity=80 time=0.07695874999999999
note_on channel=0 note=77 velocity=80 time=0
note_off channel=0 note=74 velocity=0 time=0.14692125
note_off channel=0 note=77 velocity=0 time=0
note_on channel=0 note=76 velocity=84 time=0.07695874999999999
note_on channel=0 note=79 velocity=84 time=0
note_on channel=0 note=48 velocity=61 time=0
note_off channel=0 note=76 velocity=0 time=0.14692125
note_off channel=0 note=79 velocity=0 time=0
note_off channel=0 note=48 velocity=0 time=0
note_on channel=0 note=76 velocity=80 time=0.07695874999999999
note_on channel=0 note=79 velocity=80 time=0
note_on channel=0 note=60 velocity=85 time=0
note_off channel=0 note=76 velocity=0 time=0.14692125
note_off channel=0 note=79 velocity=0 time=0
note_off channel=0 note=60 velocity=0 time=0
note_on channel=0 note=81 velocity=86 time=0.07695874999999999
note_on channel=0 note=52 velocity=63 time=0
note_on channel=0 note=79 velocity=84 time=0.11194
note_off channel=0 note=81 velocity=0 time=0.0017490625
note_off channel=0 note=52 velocity=0 time=0.033232187499999996
note_on channel=0 note=77 velocity=76 time=0.07695874999999999
note_on channel=0 note=64 velocity=77 time=0
note_off channel=0 note=79 velocity=0 time=0.0017490625
note_on channel=0 note=76 velocity=76 time=0.1101909375
note_off channel=0 note=77 velocity=0 time=0.0017490625
note_off channel=0 note=64 velocity=0 time=0.033232187499999996
note_on channel=0 note=71 velocity=74 time=0.07695874999999999
note_on channel=0 note=74 velocity=74 time=0
note_on channel=0 note=55 velocity=60 time=0
note_off channel=0 note=76 velocity=0 time=0.0017490625
note_off channel=0 note=55 velocity=0 time=0.419775
note_off channel=0 note=71 velocity=0 time=0.003498125
note_off channel=0 note=74 velocity=0 time=0
note_on channel=0 note=69 velocity=59 time=0.0227378125
note_on channel=0 note=72 velocity=59 time=0
note_off channel=0 note=69 velocity=0 time=0.14692125
note_off channel=0 note=72 velocity=0 time=0
note_on channel=0 note=71 velocity=68 time=0.07695874999999999
note_on channel=0 note=74 velocity=68 time=0
note_off channel=0 note=71 velocity=0 time=0.14692125
note_off channel=0 note=74 velocity=0 time=0
MetaMessage('set_tempo', tempo=451126, time=0.07695874999999999)
note_on channel=0 note=72 velocity=67 time=0
note_on channel=0 note=76 velocity=67 time=0
note_on channel=0 note=45 velocity=45 time=0
note_off channel=0 note=72 velocity=0 time=0.14802571874999998
note_off channel=0 note=76 velocity=0 time=0
note_off channel=0 note=45 velocity=0 time=0
note_on channel=0 note=72 velocity=68 time=0.07753728124999999
note_on channel=0 note=76 velocity=68 time=0
note_on channel=0 note=57 velocity=53 time=0
note_off channel=0 note=72 velocity=0 time=0.14802571874999998
note_off channel=0 note=76 velocity=0 time=0
note_off channel=0 note=57 velocity=0 time=0
note_on channel=0 note=77 velocity=65 time=0.07753728124999999
note_on channel=0 note=48 velocity=49 time=0
note_off channel=0 note=77 velocity=0 time=0.1074948671875
note_on channel=0 note=76 velocity=65 time=0.0052866328125
note_off channel=0 note=48 velocity=0 time=0.03524421875
note_off channel=0 note=76 velocity=0 time=0.0722506484375
note_on channel=0 note=74 velocity=61 time=0.0052866328125
note_on channel=0 note=60 velocity=62 time=0
note_off channel=0 note=74 velocity=0 time=0.1074948671875
note_on channel=0 note=72 velocity=65 time=0.0052866328125
note_off channel=0 note=60 velocity=0 time=0.03524421875
note_off channel=0 note=72 velocity=0 time=0.0722506484375
note_on channel=0 note=71 velocity=61 time=0.0052866328125
note_on channel=0 note=68 velocity=83 time=0
note_on channel=0 note=52 velocity=44 time=0
note_off channel=0 note=68 velocity=0 time=0.21322752343749998
note_on channel=0 note=64 velocity=76 time=0.0123354765625
note_off channel=0 note=71 velocity=0 time=0.1991298359375
note_off channel=0 note=52 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0.014097687499999999
note_on channel=0 note=69 velocity=68 time=0.0123354765625
note_on channel=0 note=72 velocity=68 time=0
note_off channel=0 note=69 velocity=0 time=0.14802571874999998
